con_id,month,year,unitsconsumed,assessment,totalcollection,category,billdate
1102053726,6,2018,60,246,246,DS1,6/1/2018
1102053726,7,2018,63,235,0,DS1,7/1/2018
1102053726,8,2018,53,201,0,DS1,8/1/2018
1102053726,9,2018,71,271,271,DS1,9/1/2018
1102053726,10,2018,67,249,249,DS1,10/1/2018
1102053726,11,2018,93,345,340,DS1,11/1/2018
1102053726,12,2018,63,233,230,DS1,12/1/2018
11020061396,1,2018,14,104,0,DS1,1/1/2018
11020061396,2,2018,11,96,0,DS1,2/1/2018
11020061396,3,2018,25,116,116,DS1,3/1/2018
11020061396,4,2018,49,218,218,DS1,4/1/2018
11020061396,5,2018,27,125,125,DS1,5/1/2018
11020061396,6,2018,84,219,0,DS1,6/1/2018
11020061396,7,2018,46,187,150,DS1,7/1/2018
11020061396,8,2018,6,61,0,DS1,8/1/2018
11020061396,9,2018,64,252,252,DS1,9/1/2018
11020061396,10,2018,33,141,141,DS1,10/1/2018
11020061396,11,2018,39,162,0,DS1,11/1/2018
11020061396,12,2018,44,187,187,DS1,12/1/2018
1102001819,1,2018,74,294,0,DS1,1/1/2018
1102001819,2,2018,85,334,0,DS1,2/1/2018
1102001819,3,2018,65,308,308,DS1,3/1/2018
1102001819,4,2018,70,283,0,DS1,4/1/2018
1102001819,5,2018,36,155,155,DS1,5/1/2018
1102001819,6,2018,42,168,165,DS1,6/1/2018
1102001819,7,2018,46,187,187,DS1,7/1/2018
1102001819,8,2018,40,161,150,DS1,8/1/2018
1102001819,9,2018,62,237,0,DS1,9/1/2018
1102001819,10,2018,62,233,233,DS1,10/1/2018
1102001819,11,2018,60,226,222,DS1,11/1/2018
1102001819,12,2018,43,172,0,DS1,12/1/2018
1102014569,1,2018,37,151,0,DS1,1/1/2018
1102014569,2,2018,31,132,132,DS1,2/1/2018
1102014569,3,2018,31,132,130,DS1,3/1/2018
1102014569,4,2018,NA,NA,NA,DS1,4/1/2018
1102014569,5,2018,173,655,0,DS1,5/1/2018
1102014569,6,2018,74,271,271,DS1,6/1/2018
1102014569,7,2018,85,307,0,DS1,7/1/2018
1102014569,8,2018,103,369,300,DS1,8/1/2018
1102014569,9,2018,137,491,377,DS1,9/1/2018
1102014569,10,2018,90,333,333,DS1,10/1/2018
1102014569,11,2018,73,287,287,DS1,11/1/2018
1102014569,12,2018,58,220,220,DS1,12/1/2018
1102027598,1,2018,38,181,0,DS1,1/1/2018
1102027598,2,2018,26,129,0,DS1,2/1/2018
1102027598,3,2018,55,240,0,DS1,3/1/2018
1102027598,4,2018,NA,NA,NA,DS1,4/1/2018
1102027598,5,2018,49,249,0,DS1,5/1/2018
1102027598,6,2018,240,724,0,DS1,6/1/2018
1102027598,7,2018,64,308,0,DS1,7/1/2018
1102027598,8,2018,60,263,0,DS1,8/1/2018
1102027598,9,2018,13,124,0,DS1,9/1/2018
1102027598,10,2018,91,415,0,DS1,10/1/2018
1102027598,11,2018,104,467,0,DS1,11/1/2018
1102027598,12,2018,58,272,0,DS1,12/1/2018
1102046159,1,2018,6,104,0,DS1,1/1/2018
1102046159,2,2018,5,95,0,DS1,2/1/2018
1102046159,3,2018,7,112,0,DS1,3/1/2018
1102046159,4,2018,6,111,0,DS1,4/1/2018
1102046159,5,2018,6,107,0,DS1,5/1/2018
1102046159,6,2018,537,1963,0,DS1,6/1/2018
1102046159,7,2018,146,603,0,DS1,7/1/2018
1102046159,8,2018,NA,NA,NA,DS1,8/1/2018
1102046159,9,2018,332,1454,0,DS1,9/1/2018
1102046159,10,2018,NA,NA,NA,DS1,10/1/2018
1102046159,11,2018,NA,NA,NA,DS1,11/1/2018
1102046159,12,2018,NA,NA,NA,DS1,12/1/2018
1104004057,1,2018,80,360,0,DS1,1/1/2018
1104004057,2,2018,80,365,0,DS1,2/1/2018
1104004057,3,2018,80,441,0,DS1,3/1/2018
1104004057,4,2018,NA,NA,NA,DS1,4/1/2018
1104004057,5,2018,NA,NA,NA,DS1,5/1/2018
1104004057,6,2018,NA,NA,NA,DS1,6/1/2018
1104004057,7,2018,420,1495,0,DS1,7/1/2018
1104004057,8,2018,NA,NA,NA,DS1,8/1/2018
1104004057,9,2018,NA,NA,NA,DS1,9/1/2018
1104004057,10,2018,NA,NA,NA,DS1,10/1/2018
1104004057,11,2018,NA,NA,NA,DS1,11/1/2018
1104004057,12,2018,NA,NA,NA,DS1,12/1/2018
1104009714,1,2018,15,103,0,DS1,1/1/2018
1104009714,2,2018,34,159,0,DS1,2/1/2018
1104009714,3,2018,34,147,0,DS1,3/1/2018
1104009714,4,2018,13,126,126,DS1,4/1/2018
1104009714,5,2018,97,348,341,DS1,5/1/2018
1104009714,6,2018,10,69,66,DS1,6/1/2018
1104009714,7,2018,5,54,0,DS1,7/1/2018
1104009714,8,2018,25,117,0,DS1,8/1/2018
1104009714,9,2018,10,102,0,DS1,9/1/2018
1104009714,10,2018,30,132,132,DS1,10/1/2018
1104009714,11,2018,15,90,90,DS1,11/1/2018
1104009714,12,2018,20,96,94,DS1,12/1/2018
1104025693,1,2018,96,375,0,DS1,1/1/2018
1104025693,2,2018,127,170,0,DS1,2/1/2018
1104025693,3,2018,59,258,258,DS1,3/1/2018
1104025693,4,2018,80,372,0,DS1,4/1/2018
1104025693,5,2018,243,621,500,DS1,5/1/2018
1104025693,6,2018,34,229,0,DS1,6/1/2018
1104025693,7,2018,278,1069,0,DS1,7/1/2018
1104025693,8,2018,120,483,0,DS1,8/1/2018
1104025693,9,2018,NA,NA,NA,DS1,9/1/2018
1104025693,10,2018,216,894,0,DS1,10/1/2018
1104025693,11,2018,122,508,0,DS1,11/1/2018
1104025693,12,2018,142,586,0,DS1,12/1/2018
1104053246,1,2018,71,264,255,DS1,1/1/2018
1104053246,2,2018,4,48,48,DS1,2/1/2018
1104053246,3,2018,6,51,0,DS1,3/1/2018
1104053246,4,2018,11,93,0,DS1,4/1/2018
1104053246,5,2018,30,133,0,DS1,5/1/2018
1104053246,6,2018,75,277,0,DS1,6/1/2018
1104053246,7,2018,83,315,315,DS1,7/1/2018
1104053246,8,2018,5,54,52,DS1,8/1/2018
